name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,connected_component
Massimiliano Di Penta,4:a207e2fc-2358-4733-aaec-376a2c17a19b:647,55,115,0.010051494801437542,0.006896705025866591,0
Annibale Panichella,4:a207e2fc-2358-4733-aaec-376a2c17a19b:40,43,69,0.01658206386275745,0.006889371180761536,0
Marsha Chechik,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2244,43,52,0.004710344004937097,0.006844751188662765,0
Xiangyu Zhang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:118,70,108,0.011918594541637602,0.00680414688634464,0
Shing-Chi Cheung,4:a207e2fc-2358-4733-aaec-376a2c17a19b:57,56,90,0.00990696907730301,0.006762077949264367,0
Damian A. Tamburri,4:a207e2fc-2358-4733-aaec-376a2c17a19b:910,45,92,0.05241164047990677,0.00674493777331609,0
Rogardt Heldal,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3253,43,56,0.012218804282903157,0.006697975232456212,0
Uwe Zdun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4898,48,82,0.0059172288648283835,0.00663999365620309,0
André van der Hoek,4:a207e2fc-2358-4733-aaec-376a2c17a19b:954,36,43,0.006545591261300291,0.006437326519805235,0
Igor Fabio Steinmacher,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2926,68,141,0.012989943125137123,0.006418819271064758,0
Chris Parnin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:52,34,51,0.009016554994205166,0.006410101173996084,0
Christian Bird,4:a207e2fc-2358-4733-aaec-376a2c17a19b:14,45,56,0.006635360548180681,0.006360987485644049,0
Romina Spalazzese,4:a207e2fc-2358-4733-aaec-376a2c17a19b:732,38,59,0.008753103095143561,0.006354755895263111,0
Alexander Egyed,4:a207e2fc-2358-4733-aaec-376a2c17a19b:389,41,79,0.007076016379558388,0.006286928080158161,0
Heiko Koziolek,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1157,45,65,0.003379169983566565,0.006259668412201189,0
Liming Zhu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:713,52,128,0.010454400270978591,0.006242951400954063,0
Muhammad Ali Babar 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1521,44,52,0.004988236792494182,0.006059759411310222,0
Ahmed E. Hassan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:577,49,87,0.019399015419582753,0.006035089499356928,0
Matthias Galster,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2019,32,46,0.010361050069734097,0.0060236354058260805,0
André van Hoorn,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2537,38,61,0.00481163369066785,0.005997141755701624,0
Stefan Kugele,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9288,29,36,0.00509242344276506,0.005982747382651461,0
David Garlan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:734,46,107,0.011450108681681425,0.005877660410925343,0
Margaret-Anne D. Storey,4:a207e2fc-2358-4733-aaec-376a2c17a19b:545,31,40,0.004449330825686191,0.0058576618073441075,0
Timo Kehrer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3723,37,42,0.0018654883735344998,0.005812722817202527,0
