name,database_id,degree_weighted,betweenness_unweighted,clustering_unweighted,k_shell,role
Jyoti Sheoran,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5112,8,0.0,1.0,8,core
Jérôme Härri,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11285,22,0.0,1.0,22,core
Jérôme Pfeiffer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13308,3,0.0,1.0,3,core
Jérôme d'Annoville,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7713,4,0.0,1.0,4,core
Jón Arnar Briem,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5787,5,0.0,1.0,5,core
József Kovács,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13722,2,0.0,1.0,2,peripheral
Jörg Abke,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3633,2,0.0,1.0,2,peripheral
Jörg Baus,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13872,8,0.0,1.0,8,core
Jörg Conradt,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11286,22,0.0,1.0,22,core
Jörg Grieser,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6313,4,0.0,1.0,4,core
Jörg Liebig,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2111,4,0.0,1.0,4,core
Jörg Thomaschewski,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10023,3,0.0,1.0,3,core
Jörn Guy Süß,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8691,6,0.0,1.0,6,core
Jörn Kuhlenkamp,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13868,8,0.0,1.0,8,core
Júlia Rocha Fortunato,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5149,4,0.0,1.0,4,core
Jürgen Dobaj,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9822,0,0.0,0.0,0,broker
Jürgen Döllner,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1083,2,0.0,1.0,2,peripheral
Jürgen Thanhofer-Pilisch,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10611,3,0.0,1.0,3,core
K. R. Jayaram,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4550,0,0.0,0.0,0,broker
K. Rustan M. Leino,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7513,37,0.0,1.0,37,core
K. Virgil English,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9050,5,0.0,1.0,5,core
Ka I Pun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3572,3,0.0,1.0,3,core
KaHye Ahn,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5415,10,0.0,1.0,10,core
Kaarthik Sivakumar,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13629,4,0.0,1.0,4,core
Kaawaase Kyanda Swaib,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1246,2,0.0,1.0,2,peripheral
Kadiray Karakaya,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5604,1,0.0,0.0,1,broker
Kai Chen 0012,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6638,7,0.0,1.0,7,core
