name,conference,year,role
Florian Rademacher,icsa,2019,core
Jennifer Brings,icsa,2019,core
Dennis Tschechlov,icsa,2019,core
Peter Enbrecht,icsa,2019,core
Ola Benderius,icsa,2019,core
Yanja Dajsuren,icsa,2019,broker
Stefanie Weiß,icsa,2019,core
Alois C. Knoll,icsa,2019,core
Md Rakibul Alam,icsa,2019,core
Marlies van Steenbergen,icsa,2019,core
Christian Prehofer,icsa,2019,core
Henry Muccini,icsa,2019,broker
Belén Vela,icsa,2019,core
Jan Martijn E. M. van der Werf,icsa,2019,core
Stephan Seifermann,icsa,2019,core
Daniele Di Pompeo,icsa,2019,core
Alexander Becker,icsa,2019,core
Mehdi Mirakhorli,icsa,2019,core
Stefani Schalk,icsa,2019,core
Everton Cavalcante,icsa,2019,core
Amit Deshmukh,icsa,2019,core
Andrea Zisman,icsa,2019,core
Alessandro Attanasi,icsa,2019,core
Stefan Tai,icsa,2019,core
Andreas Biesdorf,icsa,2019,core
Daniel Ståhl,icsa,2019,core
Danielle Gonzalez,icsa,2019,core
J. Andres Diaz-Pace,icsa,2019,broker
Ulf Eliasson,icsa,2019,core
Pablo Cruz,icsa,2019,core
Felipe Cerezo,icsa,2019,core
Reinder J. Bril,icsa,2019,broker
Matthieu J. S. Brinkhuis,icsa,2019,core
Sebastian Herold,icsa,2019,core
Jannik Lotz,icsa,2019,core
Simon Eismann,icsa,2019,core
Eric Sax,icsa,2019,core
Kim Wuyts,icsa,2019,core
Matthias Galster,icsa,2019,core
Kilian Telschig,icsa,2019,broker
Adam Bachorek,icsa,2019,core
Andrei Sergeevich Terechko,icsa,2019,core
Michael Wahler,icsa,2019,core
Eric Knauss,icsa,2019,core
Patrizia Scandurra,icsa,2019,core
Peggy Valcke,icsa,2019,core
Eric Bodden,icsa,2019,core
Christopher Ehmke,icsa,2019,core
Johannes Grohmann,icsa,2019,core
Marian Daun,icsa,2019,core
Christina Paule,icsa,2019,core
Tony Field,icsa,2019,core
Jonas Fritzsch,icsa,2019,core
Ivo Emanuilov,icsa,2019,core
Dmitri Schmidt,icsa,2019,core
Remco C. de Boer,icsa,2019,core
Miguel Collado,icsa,2019,core
Klym Shumaiev,icsa,2019,core
Philip Bianco,icsa,2019,core
Stephan Sehestedt,icsa,2019,core
Sebastian Kotstein,icsa,2019,broker
Barbora Buhnova,icsa,2019,broker
Ken Power,icsa,2019,broker
Wouter Joosen,icsa,2019,core
Florian Matthes,icsa,2019,core
Björn Latte,icsa,2019,core
Faheem Ullah,icsa,2019,broker
Jan Keim,icsa,2019,broker
Lothar Fritsch,icsa,2019,core
Florian Wessling,icsa,2019,core
Stephan Unverdorben,icsa,2019,core
Musard Balliu,icsa,2019,core
Philipp Haindl,icsa,2019,broker
Andrew Leigh,icsa,2019,core
David Schubert,icsa,2019,broker
Marc Hesenius,icsa,2019,core
Manoj Bhat,icsa,2019,core
Floris Bex,icsa,2019,core
David Wei,icsa,2019,core
Ilias Gerostathopoulos,icsa,2019,core
David Gesvindr,icsa,2019,broker
