name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Xinyue Zhang,Xiyue Zhang 0001,xinyue zhang,xiyue zhang,0.957,0,
Yichen Wang,Yicheng Wang,yichen wang,yicheng wang,0.957,0,
Yichen Wang 0004,Yicheng Wang,yichen wang,yicheng wang,0.957,0,
Zhengxian Li,Zhengxin Li,zhengxian li,zhengxin li,0.957,0,
Marcio N. P. Silva,Marco Aurélio Graciotto Silva,marcio silva,marco silva,0.957,0,
Hongyan Gao,Hongyang Gao,hongyan gao,hongyang gao,0.957,0,
Hoan Anh Nguyen,Hoang H. Nguyen,hoan nguyen,hoang nguyen,0.957,0,
Hoan Anh Nguyen,Hoang Lam Nguyen,hoan nguyen,hoang nguyen,0.957,0,
Hoan Nguyen,Hoang H. Nguyen,hoan nguyen,hoang nguyen,0.957,0,
Hoan Nguyen,Hoang Lam Nguyen,hoan nguyen,hoang nguyen,0.957,0,
Thien Nguyen 0001,Tien N. Nguyen,thien nguyen,tien nguyen,0.957,0,
Mohamed Ali,Mohammed Fahad Ali,mohamed ali,mohammed ali,0.957,0,
Aakash Ahmad,Akash Ahmad,aakash ahmad,akash ahmad,0.957,0,
Chen Zhang,Cheng Zhang,chen zhang,cheng zhang,0.952,0,
Chen Zhang,Cheng Zhang 0010,chen zhang,cheng zhang,0.952,0,
Hang Zhang 0012,Zhang Zhang 0005,hang zhang,zhang zhang,0.952,0,
Xiyu Zhang 0002,Xiyue Zhang 0001,xiyu zhang,xiyue zhang,0.952,0,
Zhiyi Zhang 0004,Ziyi Zhang,zhiyi zhang,ziyi zhang,0.952,0,
Yuan Huang 0002,Yutan Huang,yuan huang,yutan huang,0.952,0,
Shuang Liu 0007,Shuyang Liu,shuang liu,shuyang liu,0.952,0,
Xingyu Wang,Xinyu Wang 0001,xingyu wang,xinyu wang,0.952,0,
Xingyu Wang,Xinyu Wang 0006,xingyu wang,xinyu wang,0.952,0,
Zheming Li,Zhenming Li,zheming li,zhenming li,0.952,0,
Zhengxi Li,Zhengxin Li,zhengxi li,zhengxin li,0.952,0,
Md Mahbubur Rahman,Md. Rayhanur Rahman,md rahman,md. rahman,0.947,0,
Md Mahbubur Rahman,Md. Rezaur Rahman,md rahman,md. rahman,0.947,0,
Chaohua Wu,Haohua Wu,chaohua wu,haohua wu,0.947,0,
Lin Jiang,Ling Jiang,lin jiang,ling jiang,0.947,0,
Lin Jiang 0002,Ling Jiang,lin jiang,ling jiang,0.947,0,
Jingwei Xu 0001,Jinwei Xu,jingwei xu,jinwei xu,0.947,0,
Liang Xiao 0004,Ling Xiao,liang xiao,ling xiao,0.947,0,
Chao Zhang 0008,Hao Zhang 0008,chao zhang,hao zhang,0.947,0,
Chao Zhang 0008,Hao Zhang 0085,chao zhang,hao zhang,0.947,0,
Hao Zhang 0008,Zhao Zhang,hao zhang,zhao zhang,0.947,0,
Hao Zhang 0085,Zhao Zhang,hao zhang,zhao zhang,0.947,0,
